Order,PID,MS SubClass,MS Zoning,Lot Frontage,Lot Area,Street,Alley,Lot Shape,Land Contour,Utilities,Lot Config,Land Slope,Neighborhood,Condition 1,Condition 2,Bldg Type,House Style,Overall Qual,Overall Cond,Year Built,Year Remod/Add,Roof Style,Roof Matl,Exterior 1st,Exterior 2nd,Mas Vnr Type,Mas Vnr Area,Exter Qual,Exter Cond,Foundation,Bsmt Qual,Bsmt Cond,Bsmt Exposure,BsmtFin Type 1,BsmtFin SF 1,BsmtFin Type 2,BsmtFin SF 2,Bsmt Unf SF,Total Bsmt SF,Heating,Heating QC,Central Air,Electrical,1st Flr SF,2nd Flr SF,Low Qual Fin SF,Gr Liv Area,Bsmt Full Bath,Bsmt Half Bath,Full Bath,Half Bath,Bedroom AbvGr,Kitchen AbvGr,Kitchen Qual,TotRms AbvGrd,Functional,Fireplaces,Fireplace Qu,Garage Type,Garage Yr Blt,Garage Finish,Garage Cars,Garage Area,Garage Qual,Garage Cond,Paved Drive,Wood Deck SF,Open Porch SF,Enclosed Porch,3Ssn Porch,Screen Porch,Pool Area,Pool QC,Fence,Misc Feature,Misc Val,Mo Sold,Yr Sold,Sale Type,Sale Condition,SalePrice
747,903236040,30,RM,50.0,8635,Pave,,Reg,Lvl,AllPub,Inside,Gtl,BrkSide,Norm,Norm,1Fam,1Story,5,5,1925,1950,Hip,CompShg,Wd Sdng,Wd Sdng,,0.0,TA,Fa,BrkTil,TA,TA,No,LwQ,134.0,Unf,0.0,938.0,1072.0,GasA,TA,Y,SBrkr,1072,0,0,1072,1.0,0.0,1,0,2,1,TA,5,Typ,0,,Detchd,1982.0,Unf,5.0,1184.0,Fa,TA,P,0,0,105,0,0,0,,,,0,8,2009,WD ,Normal,126500
876,907290070,20,RL,70.0,9100,Pave,,Reg,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,1Story,7,5,2001,2001,Gable,CompShg,VinylSd,VinylSd,,0.0,Gd,TA,PConc,Gd,TA,No,Unf,0.0,Unf,0.0,1212.0,1212.0,GasA,Ex,Y,SBrkr,1212,0,0,1212,0.0,0.0,2,0,3,1,Gd,6,Typ,0,,Attchd,2001.0,RFn,2.0,573.0,TA,TA,Y,356,0,0,0,0,0,,,,0,6,2009,WD ,Normal,178000
1661,527359160,80,RL,64.0,8991,Pave,,IR1,Lvl,AllPub,CulDSac,Gtl,NWAmes,PosN,Norm,1Fam,SLvl,7,6,1976,1976,Gable,CompShg,Plywood,Plywood,Stone,130.0,TA,TA,CBlock,Gd,TA,Gd,GLQ,624.0,Rec,604.0,0.0,1228.0,GasA,TA,Y,SBrkr,1324,0,0,1324,0.0,1.0,2,0,3,1,Gd,5,Typ,1,Fa,Attchd,1976.0,Fin,2.0,585.0,TA,TA,Y,407,36,0,0,0,0,,,,0,2,2007,WD ,Normal,174000
104,533223100,160,FV,,2403,Pave,,IR1,Lvl,AllPub,FR2,Gtl,Somerst,Norm,Norm,TwnhsE,2Story,7,5,2003,2003,Gable,CompShg,VinylSd,VinylSd,,0.0,Gd,TA,PConc,Gd,TA,No,GLQ,244.0,Unf,0.0,286.0,530.0,GasA,Ex,Y,SBrkr,530,550,0,1080,0.0,0.0,2,1,2,1,Gd,4,Typ,0,,Attchd,2003.0,RFn,2.0,496.0,TA,TA,Y,0,50,0,0,0,0,,,,0,6,2010,WD ,Normal,147110
646,535325290,20,RL,60.0,10434,Pave,,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,4,5,1955,1955,Gable,CompShg,Plywood,Plywood,,0.0,TA,TA,CBlock,TA,TA,No,Unf,0.0,Unf,0.0,1005.0,1005.0,GasA,TA,Y,SBrkr,1005,0,0,1005,0.0,0.0,1,0,2,1,Fa,5,Typ,1,TA,Detchd,1977.0,Unf,2.0,672.0,Fa,Fa,Y,0,0,0,0,0,0,,,,0,11,2009,WD ,Normal,115000
1326,902427045,20,RM,70.0,12702,Pave,,Reg,Lvl,AllPub,Inside,Gtl,OldTown,Norm,Norm,1Fam,1Story,5,5,1956,1956,Gable,CompShg,BrkFace,BrkFace,,0.0,TA,TA,PConc,,,,,0.0,,0.0,0.0,0.0,GasA,Gd,Y,FuseA,882,0,0,882,0.0,0.0,1,0,2,1,TA,4,Typ,0,,Detchd,1956.0,Unf,1.0,308.0,TA,TA,Y,0,45,0,0,0,0,,,,0,12,2008,WD ,Normal,97000
2745,905477010,20,RL,77.0,8335,Pave,,Reg,Lvl,AllPub,Corner,Gtl,Edwards,Norm,Norm,1Fam,1Story,5,5,1954,1954,Gable,CompShg,Wd Sdng,Wd Sdng,,0.0,TA,TA,Slab,,,,,0.0,,0.0,0.0,0.0,GasA,Gd,Y,SBrkr,1124,0,0,1124,0.0,0.0,1,0,3,1,TA,5,Min2,1,Gd,,,,0.0,0.0,,,N,0,36,190,0,0,0,,,,0,4,2006,WD ,Normal,93000
740,903230100,30,RM,60.0,6911,Pave,,Reg,Lvl,AllPub,FR2,Gtl,BrkSide,Feedr,Norm,1Fam,1Story,5,5,1924,1950,Gable,CompShg,Wd Sdng,Wd Sdng,,0.0,TA,TA,PConc,TA,TA,Mn,LwQ,405.0,Unf,0.0,740.0,1145.0,GasA,TA,Y,SBrkr,1301,0,0,1301,0.0,0.0,1,0,2,1,Fa,5,Min1,0,,Detchd,1965.0,Unf,2.0,440.0,TA,TA,Y,0,0,0,0,0,0,,,,0,10,2009,WD ,Normal,100000
766,904301375,30,RL,,10020,Pave,,IR1,Low,AllPub,Inside,Sev,Edwards,Norm,Norm,1Fam,1Story,1,1,1922,1950,Gable,CompShg,Wd Sdng,Wd Sdng,,0.0,Fa,Fa,BrkTil,Fa,Po,Gd,BLQ,350.0,Unf,0.0,333.0,683.0,GasA,Gd,N,FuseA,904,0,0,904,1.0,0.0,0,1,1,1,Fa,4,Maj1,0,,,,,0.0,0.0,,,Y,0,0,0,0,0,0,,,,0,3,2009,WD ,Normal,61000
165,535456110,20,RL,60.0,7200,Pave,,Reg,Lvl,AllPub,Corner,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,7,1951,2000,Gable,CompShg,Wd Sdng,Wd Sdng,,0.0,TA,TA,CBlock,TA,TA,Mn,BLQ,234.0,Rec,486.0,180.0,900.0,GasA,TA,Y,SBrkr,900,0,0,900,0.0,1.0,1,0,3,1,Gd,5,Typ,0,,Detchd,2005.0,Unf,2.0,576.0,TA,TA,Y,222,32,0,0,0,0,,,,0,5,2010,WD ,Normal,134800
206,903450110,90,RM,110.0,8472,Grvl,,IR2,Bnk,AllPub,Corner,Mod,IDOTRR,RRNn,Norm,Duplex,1Story,5,5,1963,1963,Gable,CompShg,Wd Sdng,Wd Sdng,,0.0,Fa,TA,CBlock,Gd,TA,Gd,LwQ,104.0,GLQ,712.0,0.0,816.0,GasA,TA,N,SBrkr,816,0,0,816,1.0,0.0,1,0,2,1,TA,5,Typ,0,,CarPort,1963.0,Unf,2.0,516.0,TA,TA,Y,106,0,0,0,0,0,,,,0,5,2010,WD ,Normal,110000
1884,534276070,80,RL,65.0,10482,Pave,,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,SLvl,6,8,1958,1958,Hip,CompShg,VinylSd,VinylSd,BrkFace,63.0,TA,Gd,CBlock,TA,TA,Av,GLQ,507.0,Unf,0.0,81.0,588.0,GasA,Ex,Y,SBrkr,1138,0,0,1138,0.0,1.0,1,0,3,1,TA,6,Typ,0,,Attchd,1958.0,RFn,1.0,264.0,TA,TA,Y,224,0,0,0,0,0,,MnWw,,0,6,2007,WD ,Normal,145000
118,534202160,20,RL,80.0,9600,Pave,,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,5,1966,1966,Hip,CompShg,VinylSd,VinylSd,BrkFace,172.0,TA,TA,CBlock,TA,TA,No,Rec,698.0,Unf,0.0,534.0,1232.0,GasA,TA,Y,SBrkr,1232,0,0,1232,1.0,0.0,1,1,3,1,TA,6,Typ,0,,Attchd,1966.0,RFn,2.0,490.0,TA,TA,Y,0,224,0,0,0,0,,,,0,4,2010,WD ,Normal,142250
2433,528235130,60,RL,74.0,9056,Pave,,IR1,Lvl,AllPub,Inside,Gtl,Gilbert,Norm,Norm,1Fam,2Story,8,5,2004,2004,Gable,CompShg,VinylSd,VinylSd,,0.0,Gd,TA,PConc,Ex,Gd,Av,Unf,0.0,Unf,0.0,707.0,707.0,GasA,Ex,Y,SBrkr,707,707,0,1414,0.0,0.0,2,1,3,1,Gd,6,Typ,1,Gd,Attchd,2004.0,Fin,2.0,403.0,TA,TA,Y,100,35,0,0,0,0,,,,0,10,2006,WD ,Normal,178000
634,535154130,20,RL,66.0,9240,Pave,,IR1,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,6,8,1959,1998,Hip,CompShg,MetalSd,MetalSd,,0.0,Gd,TA,CBlock,TA,TA,No,ALQ,708.0,Unf,0.0,280.0,988.0,GasA,TA,Y,SBrkr,988,0,0,988,1.0,0.0,2,0,3,1,Gd,6,Typ,0,,Attchd,1959.0,Unf,1.0,297.0,TA,TA,Y,156,0,0,0,0,0,,,,0,6,2009,WD ,Normal,149500
1395,905226030,30,RL,60.0,10200,Pave,,Reg,Lvl,AllPub,Inside,Gtl,Sawyer,Norm,Norm,1Fam,1Story,5,8,1940,1997,Gable,CompShg,Wd Sdng,Wd Sdng,,0.0,TA,TA,PConc,TA,TA,No,Unf,0.0,Unf,0.0,672.0,672.0,GasA,Ex,Y,SBrkr,672,0,0,672,0.0,0.0,1,0,2,1,TA,4,Typ,0,,Detchd,1940.0,Unf,1.0,240.0,TA,TA,N,168,0,0,0,0,0,,GdPrv,,0,8,2008,WD ,Normal,108000
1957,535450190,50,RL,60.0,8064,Pave,,Reg,Lvl,AllPub,Corner,Gtl,NAmes,Artery,Norm,1Fam,1.5Fin,5,7,1949,2006,Gable,CompShg,MetalSd,MetalSd,,0.0,TA,Gd,CBlock,TA,TA,Mn,Unf,0.0,Unf,0.0,672.0,672.0,GasA,Ex,Y,SBrkr,672,252,0,924,0.0,0.0,1,0,3,1,TA,6,Typ,1,Po,Detchd,2003.0,Unf,2.0,576.0,TA,TA,Y,0,0,0,0,0,0,,MnPrv,Shed,2000,7,2007,WD ,Normal,122900
1334,903225160,70,RM,59.0,5870,Pave,,Reg,Lvl,AllPub,Corner,Gtl,BrkSide,Feedr,Feedr,1Fam,2Story,6,9,1900,2000,Gable,CompShg,HdBoard,HdBoard,,0.0,TA,Gd,BrkTil,TA,TA,No,Unf,0.0,Unf,0.0,554.0,554.0,GasA,Ex,Y,SBrkr,736,554,0,1290,0.0,0.0,1,1,3,1,TA,6,Typ,0,,Detchd,1926.0,Unf,1.0,200.0,Fa,TA,Y,38,112,0,0,0,0,,MnPrv,Shed,400,4,2008,WD ,Normal,106900
1535,909277070,50,RL,,9260,Pave,Grvl,IR1,HLS,AllPub,Inside,Gtl,Crawfor,Feedr,Norm,1Fam,1.5Fin,5,4,1938,1950,Gable,CompShg,Wd Sdng,Wd Sdng,,0.0,TA,TA,BrkTil,TA,TA,No,Unf,0.0,Unf,0.0,884.0,884.0,GasA,TA,Y,FuseF,932,442,0,1374,0.0,0.0,1,0,3,1,TA,6,Typ,0,,Detchd,1938.0,Unf,1.0,225.0,TA,TA,Y,64,0,0,0,100,0,,,,0,3,2008,WD ,Normal,110000
2682,903233220,50,RM,51.0,6120,Pave,,Reg,Lvl,AllPub,Inside,Gtl,BrkSide,Norm,Norm,1Fam,1.5Fin,5,7,1930,1984,Gable,CompShg,MetalSd,MetalSd,,0.0,TA,Gd,BrkTil,TA,TA,No,Unf,0.0,Unf,0.0,741.0,741.0,GasA,Gd,Y,SBrkr,741,583,0,1324,0.0,0.0,1,0,3,1,Gd,7,Typ,0,,Detchd,1930.0,Unf,1.0,180.0,Fa,TA,Y,0,0,55,0,0,0,,,,0,2,2006,WD ,Normal,110000
1917,535151020,20,RL,73.0,8760,Pave,,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,6,7,1957,1999,Gable,CompShg,VinylSd,VinylSd,,0.0,TA,TA,CBlock,TA,TA,No,ALQ,873.0,Unf,0.0,63.0,936.0,GasA,TA,Y,SBrkr,936,0,0,936,1.0,0.0,1,0,2,1,Gd,4,Typ,0,,Attchd,1957.0,RFn,1.0,315.0,TA,TA,Y,0,0,0,219,0,0,,,,0,9,2007,WD ,Normal,141000
2677,903231190,50,RM,,6240,Pave,,Reg,Lvl,AllPub,Inside,Gtl,BrkSide,Norm,Norm,1Fam,1.5Fin,5,4,1936,1950,Gable,CompShg,MetalSd,MetalSd,,0.0,TA,TA,BrkTil,Gd,TA,No,Unf,0.0,Unf,0.0,896.0,896.0,GasA,Gd,Y,FuseA,896,448,0,1344,0.0,0.0,1,0,3,1,TA,7,Typ,0,,Detchd,1936.0,Unf,1.0,240.0,Fa,TA,Y,200,114,0,0,0,0,,,,0,4,2006,WD ,Normal,115000
672,535403210,20,RL,90.0,10454,Pave,,IR1,Lvl,AllPub,Corner,Gtl,NAmes,Norm,Norm,1Fam,1Story,6,6,1957,1957,Hip,CompShg,Plywood,Plywood,Stone,143.0,TA,TA,CBlock,TA,TA,No,Rec,546.0,Unf,0.0,559.0,1105.0,GasA,Gd,Y,FuseA,1105,0,0,1105,0.0,0.0,1,0,3,1,TA,5,Typ,0,,Detchd,1957.0,Unf,1.0,308.0,TA,TA,Y,0,0,0,0,0,0,,,,0,4,2009,WD ,Normal,135000
419,527455240,20,RL,65.0,7150,Pave,,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,5,1967,1967,Gable,CompShg,HdBoard,HdBoard,BrkFace,60.0,TA,TA,CBlock,TA,TA,No,BLQ,432.0,Unf,0.0,460.0,892.0,GasA,TA,Y,SBrkr,892,0,0,892,0.0,0.0,1,0,3,1,TA,5,Typ,0,,Attchd,1967.0,RFn,1.0,288.0,TA,TA,Y,0,0,0,0,0,0,,GdWo,,0,7,2009,WD ,Normal,100000
1265,535426350,20,RL,,12929,Pave,,IR1,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,6,6,1960,1993,Gable,CompShg,Wd Sdng,Wd Sdng,BrkFace,276.0,TA,TA,CBlock,TA,TA,Gd,GLQ,697.0,Unf,0.0,384.0,1081.0,GasA,TA,Y,SBrkr,1081,0,0,1081,1.0,0.0,1,0,3,1,TA,5,Typ,0,,CarPort,1960.0,Unf,1.0,401.0,TA,TA,Y,36,82,0,0,0,0,,,,0,6,2008,WD ,Normal,148000
2482,531452100,120,RL,50.0,7175,Pave,,Reg,Lvl,AllPub,Inside,Gtl,SawyerW,Norm,Norm,TwnhsE,1Story,6,5,1991,1991,Gable,CompShg,Plywood,Plywood,,0.0,Gd,TA,PConc,Gd,TA,No,GLQ,278.0,Unf,0.0,939.0,1217.0,GasA,Gd,Y,SBrkr,1217,0,0,1217,0.0,0.0,2,0,2,1,Gd,5,Typ,0,,Attchd,1991.0,RFn,2.0,484.0,TA,TA,Y,0,64,0,0,0,0,,,,0,6,2006,WD ,Normal,151000
1603,923252100,20,RL,59.0,6490,Pave,,Reg,Lvl,AllPub,Inside,Gtl,Mitchel,Norm,Norm,1Fam,1Story,5,7,1983,1983,Gable,CompShg,VinylSd,VinylSd,,0.0,TA,Gd,CBlock,TA,TA,No,GLQ,534.0,Unf,0.0,282.0,816.0,GasA,Ex,Y,SBrkr,816,0,0,816,0.0,1.0,1,0,2,1,TA,4,Typ,0,,Attchd,1983.0,Unf,1.0,264.0,TA,TA,Y,315,0,0,0,0,0,,GdWo,,0,4,2008,WD ,Normal,128500
2706,905100030,20,RL,75.0,11235,Pave,,Reg,Lvl,AllPub,Inside,Gtl,Sawyer,Norm,Norm,1Fam,1Story,4,5,1963,1979,Gable,CompShg,HdBoard,HdBoard,BrkFace,51.0,TA,TA,CBlock,TA,TA,No,Rec,547.0,Unf,0.0,504.0,1051.0,GasA,Gd,Y,SBrkr,1382,0,0,1382,0.0,0.0,1,1,3,1,TA,6,Typ,1,Po,Attchd,1974.0,Unf,2.0,459.0,TA,TA,Y,0,82,0,0,0,0,,,,0,10,2006,WD ,Normal,148000
2770,907125080,20,RL,95.0,13015,Pave,,Reg,Lvl,AllPub,Corner,Gtl,CollgCr,Norm,Norm,1Fam,1Story,5,6,1996,1996,Gable,CompShg,VinylSd,VinylSd,,0.0,TA,Gd,PConc,Gd,TA,No,Unf,0.0,Unf,0.0,1100.0,1100.0,GasA,Ex,Y,SBrkr,1100,0,0,1100,0.0,0.0,1,1,3,1,TA,5,Typ,0,,Attchd,1996.0,RFn,2.0,462.0,TA,TA,Y,0,0,0,0,0,0,,,,0,6,2006,WD ,Normal,145000
894,908201040,20,RL,50.0,9405,Pave,,Reg,Lvl,AllPub,Inside,Gtl,Edwards,Norm,Norm,1Fam,1Story,5,9,1947,2008,Hip,CompShg,VinylSd,VinylSd,,0.0,TA,Ex,CBlock,TA,TA,No,Unf,0.0,Unf,0.0,698.0,698.0,GasA,Ex,Y,SBrkr,698,0,0,698,0.0,1.0,1,0,2,1,TA,4,Typ,0,,,,,0.0,0.0,,,Y,0,200,0,0,0,0,,,,0,6,2009,WD ,Normal,118000
1973,535478040,85,RL,66.0,6760,Pave,,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,SFoyer,5,5,1962,1962,Gable,CompShg,HdBoard,HdBoard,,0.0,TA,TA,CBlock,TA,TA,Av,ALQ,734.0,Unf,0.0,162.0,896.0,GasA,TA,Y,SBrkr,936,0,0,936,1.0,0.0,1,0,3,1,TA,6,Typ,1,Po,Attchd,1962.0,RFn,1.0,288.0,TA,TA,Y,24,90,160,0,0,0,,,,0,10,2007,WD ,Normal,130000
1179,533250050,120,RL,38.0,14963,Pave,,IR2,Lvl,AllPub,Inside,Gtl,Veenker,Norm,Norm,TwnhsE,1Story,8,5,1996,1996,Gable,CompShg,BrkFace,BrkFace,,0.0,Gd,TA,PConc,Gd,TA,No,GLQ,786.0,Unf,0.0,474.0,1260.0,GasA,Ex,Y,SBrkr,1288,0,0,1288,1.0,0.0,1,1,1,1,Ex,4,Typ,2,Gd,Attchd,1996.0,Fin,2.0,500.0,TA,TA,Y,120,30,0,0,224,0,,,,0,12,2008,WD ,Normal,245500
1881,534252110,20,RL,,12342,Pave,,IR1,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,5,1960,1978,Hip,CompShg,Wd Sdng,Wd Sdng,,0.0,TA,TA,CBlock,TA,TA,No,Unf,0.0,Unf,0.0,978.0,978.0,GasA,TA,Y,SBrkr,1422,0,0,1422,0.0,0.0,1,0,3,1,TA,6,Min1,1,TA,Attchd,1960.0,RFn,1.0,286.0,TA,TA,Y,0,0,36,0,0,0,,GdWo,Shed,600,8,2007,WD ,Normal,139900
1211,534401190,20,RL,80.0,9200,Pave,,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,6,6,1965,1965,Gable,CompShg,HdBoard,HdBoard,,0.0,TA,TA,CBlock,TA,TA,No,Rec,892.0,Unf,0.0,244.0,1136.0,GasA,TA,Y,SBrkr,1136,0,0,1136,1.0,0.0,1,0,3,1,TA,5,Typ,1,Gd,Attchd,1965.0,RFn,1.0,384.0,TA,TA,Y,426,0,0,0,0,0,,,,0,7,2008,WD ,Normal,140000
467,528221060,60,RL,149.0,12589,Pave,,IR2,Lvl,AllPub,Inside,Gtl,Gilbert,Norm,Norm,1Fam,2Story,6,5,2005,2005,Gable,CompShg,VinylSd,VinylSd,,0.0,Gd,TA,PConc,Gd,TA,No,Unf,0.0,Unf,0.0,742.0,742.0,GasA,Ex,Y,SBrkr,742,742,0,1484,0.0,0.0,2,1,3,1,Gd,8,Typ,1,Gd,Attchd,2005.0,Fin,2.0,390.0,TA,TA,Y,36,24,0,0,0,0,,,,0,6,2009,WD ,Normal,174000
1923,535176070,20,RL,90.0,11988,Pave,,IR1,Lvl,AllPub,Corner,Gtl,NAmes,Feedr,Norm,1Fam,1Story,6,6,1957,1957,Gable,CompShg,VinylSd,VinylSd,,0.0,TA,TA,CBlock,TA,TA,No,Rec,777.0,Unf,0.0,467.0,1244.0,GasA,Ex,Y,FuseA,1244,0,0,1244,0.0,0.0,1,1,3,1,TA,6,Typ,2,Gd,Attchd,1957.0,Unf,1.0,336.0,TA,TA,Y,0,40,0,0,0,0,,,,0,5,2007,WD ,Normal,150000
1511,908275280,50,RL,59.0,16466,Pave,,IR1,Lvl,AllPub,Inside,Gtl,Edwards,Norm,Norm,1Fam,1.5Fin,5,7,1955,1955,Gable,CompShg,MetalSd,MetalSd,,0.0,TA,Gd,PConc,TA,TA,No,Unf,0.0,Unf,0.0,816.0,816.0,GasA,TA,Y,SBrkr,872,521,0,1393,0.0,0.0,1,1,3,1,TA,8,Typ,0,,Attchd,1955.0,Unf,1.0,300.0,TA,TA,Y,121,0,0,0,265,0,,,,0,4,2008,WD ,Normal,135500
